,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma
0,2019-04-21 00:00:21.000,1.1197526979624836e+18,1.1197526979624836e+18,es,"{'id': 'f0bc6569b8d489ec', 'url': 'https://api.twitter.com/1.1/geo/id/f0bc6569b8d489ec.json', 'place_type': 'city', 'name': 'Palencia', 'full_name': 'Palencia, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.654915, 41.919496], [-4.654915, 42.07149], [-4.481245, 42.07149], [-4.481245, 41.919496]]]}, 'attributes': {}}",@cid_lauri @SoniaMaica @sanchezcastejon @Pablo_Iglesias_ @CasoAislado_Es Salen locas como setas,"{'id': 389397998, 'id_str': '389397998', 'name': 'Antonio Fernández G.', 'screen_name': 'tofernani', 'location': 'Palencia, ESPAÑA', 'url': None, 'description': 'Vagamundo a sueldo, casado, con un hijo.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 104, 'friends_count': 285, 'listed_count': 0, 'favourites_count': 1478, 'statuses_count': 1436, 'created_at': 'Wed Oct 12 10:47:57 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '0099B9', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_tile': False, 'profile_link_color': '0099B9', 'profile_sidebar_border_color': '5ED4DC', 'profile_sidebar_fill_color': '95E8EC', 'profile_text_color': '3C3940', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3623679929/322d0f0c3a218a3411e409963cf2ec71_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3623679929/322d0f0c3a218a3411e409963cf2ec71_normal.jpeg', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Palencia,"(-4.654915, 41.919496)",Castilla y León
1,2019-04-21 00:01:03.000,1.1197528739387556e+18,1.1197528739387556e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","En serio, que me comeria una pizza que flipais. Tengo muchisimo hambre y he cenado que flipas.","{'id': 2327829528, 'id_str': '2327829528', 'name': 'Ann✨', 'screen_name': 'Ann_Acid', 'location': 'Electra Heart ⚡', 'url': 'http://shadowoflovex.tumblr.com/', 'description': '*Del 91 🦋 (ナナ ♥) -Vasos de fresa- (Apartamento 707. Sin ascensor) Juego al Lol  #Animalista   Ig: Sweetann272 🌸', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 2298, 'friends_count': 1470, 'listed_count': 26, 'favourites_count': 17530, 'statuses_count': 83875, 'created_at': 'Tue Feb 04 22:31:35 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '545454', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '39233D', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1110927910905499650/FmRe1_O6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1110927910905499650/FmRe1_O6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2327829528/1553018624', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid
2,2019-04-21 00:01:54.000,1.1197530859650172e+18,1.1197530859650172e+18,es,"{'id': '590e9f3315ea23a7', 'url': 'https://api.twitter.com/1.1/geo/id/590e9f3315ea23a7.json', 'place_type': 'city', 'name': 'Santander', 'full_name': 'Santander, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889051, 43.434462], [-3.889051, 43.494818], [-3.763247, 43.494818], [-3.763247, 43.434462]]]}, 'attributes': {}}",@starpudd es que me la como con patatas socorro,"{'id': 2862498098, 'id_str': '2862498098', 'name': 'gema', 'screen_name': 'littleagoney', 'location': '♡', 'url': None, 'description': 'yo solo quiero que vuelva ot2017 y one direction   ⠀⠀ ⠀⠀⠀ ⠀⠀ ⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀⠀ ⠀ ⠀ ⠀⠀ ⠀⠀ ⠀⠀⠀ ⠀⠀', 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 3830, 'friends_count': 681, 'listed_count': 132, 'favourites_count': 190963, 'statuses_count': 180388, 'created_at': 'Sat Oct 18 12:11:09 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': 'FAB81E', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1119205536958959618/JrPVnAXi_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1119205536958959618/JrPVnAXi_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2862498098/1555674346', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Santander,"(-3.889051, 43.434462)",Cantabria
3,2019-04-21 00:02:38.000,1.1197532706485617e+18,1.1197532706485617e+18,es,"{'id': '89ee62e4c6700ce6', 'url': 'https://api.twitter.com/1.1/geo/id/89ee62e4c6700ce6.json', 'place_type': 'city', 'name': 'Espartinas', 'full_name': 'Espartinas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.173902, 37.360802], [-6.173902, 37.414926], [-6.0828, 37.414926], [-6.0828, 37.360802]]]}, 'attributes': {}}",Pasta de dientes como remedio para los granos. https://t.co/U0RJ9UUwBf,"{'id': 607149404, 'id_str': '607149404', 'name': 'Sr. Halliwell', 'screen_name': 'Allabelt', 'location': 'Sevilla', 'url': 'https://www.instagram.com/nono_llabelt/', 'description': '¿Porqué será que nos gusta tanto matarnos por dentro?... Ciencias ambientales en la UPO/ músico/ un poco brujo. ♏', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 855, 'friends_count': 298, 'listed_count': 11, 'favourites_count': 5749, 'statuses_count': 13932, 'created_at': 'Wed Jun 13 11:59:48 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/973558080511332352/N9EnCio6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/973558080511332352/N9EnCio6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/607149404/1378031984', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Espartinas,"(-6.173902, 37.360802)",Andalucía
4,2019-04-21 00:02:46.000,1.119753303162794e+18,1.119753303162794e+18,es,"{'id': '590e9f3315ea23a7', 'url': 'https://api.twitter.com/1.1/geo/id/590e9f3315ea23a7.json', 'place_type': 'city', 'name': 'Santander', 'full_name': 'Santander, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889051, 43.434462], [-3.889051, 43.494818], [-3.763247, 43.494818], [-3.763247, 43.434462]]]}, 'attributes': {}}",@manolobaenagarc Y tu un franquista de tomo y lomo.,"{'id': 1086234411593596928, 'id_str': '1086234411593596928', 'name': 'Soledad', 'screen_name': 'Soledad58858163', 'location': None, 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 219, 'friends_count': 541, 'listed_count': 0, 'favourites_count': 5124, 'statuses_count': 4084, 'created_at': 'Fri Jan 18 12:10:39 +0000 2019', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Santander,"(-3.889051, 43.434462)",Cantabria
5,2019-04-21 00:06:04.000,1.1197541364787896e+18,1.1197541364787896e+18,es,"{'id': 'a4d75ab3c00c2563', 'url': 'https://api.twitter.com/1.1/geo/id/a4d75ab3c00c2563.json', 'place_type': 'city', 'name': 'Níjar', 'full_name': 'Níjar, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-2.300484, 36.719095], [-2.300484, 37.0197], [-1.925271, 37.0197], [-1.925271, 36.719095]]]}, 'attributes': {}}",recuerdo que era español porque en los bocadillos a veces hablaban andaluces y lo hacían poniendo una comilla en vez de la s (huevo’),"{'id': 2962009456, 'id_str': '2962009456', 'name': 'ᵖᵃᵘˡᵃ ,,', 'screen_name': 'zuffi', 'location': 'san josé, almeria', 'url': 'http://curiouscat.me/zuffi', 'description': '⚥ loveless girl', 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 1829, 'friends_count': 289, 'listed_count': 46, 'favourites_count': 39926, 'statuses_count': 70865, 'created_at': 'Mon Jan 05 12:30:45 +0000 2015', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1118074860763254784/nhGqVYHI_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1118074860763254784/nhGqVYHI_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2962009456/1532426270', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Níjar,"(-2.300484, 36.719095)",Andalucía
6,2019-04-21 00:06:50.000,1.1197543283010272e+18,1.1197543283010272e+18,es,"{'id': '81b394f2fd369fbd', 'url': 'https://api.twitter.com/1.1/geo/id/81b394f2fd369fbd.json', 'place_type': 'city', 'name': 'Torrent', 'full_name': 'Torrent, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.617084, 39.386959], [-0.617084, 39.449597], [-0.435364, 39.449597], [-0.435364, 39.386959]]]}, 'attributes': {}}","@Rainerbonhof @llonganissa @FansValenciacf Bajo mi punto de vista, vino muy bien tener un foco de odio en un moment… https://t.co/veuTmOYyRy","{'id': 387777852, 'id_str': '387777852', 'name': 'Raúl Ogalla', 'screen_name': 'RaulOgalla', 'location': 'Torrent (Valencia)', 'url': 'https://www.youtube.com/RaulOgalla', 'description': 'Concursante de ""Tu Cara No Me Suena Todavía"".\nMestre d\'Educació Primària.  Vocalista en ""Grupo Zona Zero"".  https://www.facebook.com/raulogallaoficial/', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1367, 'friends_count': 909, 'listed_count': 6, 'favourites_count': 13781, 'statuses_count': 19038, 'created_at': 'Sun Oct 09 17:11:20 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'E6C89A', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme16/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme16/bg.gif', 'profile_background_tile': False, 'profile_link_color': 'B39500', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/987774575298695168/HTubFLal_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/987774575298695168/HTubFLal_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/387777852/1491103088', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Torrent,"(-0.617084, 39.386959)",Cataluña
7,2019-04-21 00:08:02.000,1.1197546302448516e+18,1.1197546302448516e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Pues me he olvidado de cenar y ahora qué? Qué narices me preparo? Cereales?,"{'id': 280387028, 'id_str': '280387028', 'name': 'Borja', 'screen_name': 'borjadn', 'location': 'Madrid, Spain', 'url': 'https://curiouscat.me/borjadn', 'description': 'Likes cats, sleeping, eating and playing games. Me gusta Fate y vais a ver muchos RTs :) 🇯🇵 いつも眠いでござるよ。(´・ω・｀)', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 398, 'friends_count': 238, 'listed_count': 13, 'favourites_count': 25425, 'statuses_count': 37327, 'created_at': 'Mon Apr 11 07:07:30 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'A4E9F5', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_tile': True, 'profile_link_color': '008080', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '99CC33', 'profile_text_color': '3E4415', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1113777764639883264/X7-9DaS3_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1113777764639883264/X7-9DaS3_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/280387028/1473609306', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid
8,2019-04-21 00:08:40.000,1.1197547907272252e+18,1.1197547907272252e+18,es,"{'id': '89ee62e4c6700ce6', 'url': 'https://api.twitter.com/1.1/geo/id/89ee62e4c6700ce6.json', 'place_type': 'city', 'name': 'Espartinas', 'full_name': 'Espartinas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.173902, 37.360802], [-6.173902, 37.414926], [-6.0828, 37.414926], [-6.0828, 37.360802]]]}, 'attributes': {}}",@elcowboysideral Pues entonces no uses pasta de dientes sabor menta... 🤣,"{'id': 607149404, 'id_str': '607149404', 'name': 'Sr. Halliwell', 'screen_name': 'Allabelt', 'location': 'Sevilla', 'url': 'https://www.instagram.com/nono_llabelt/', 'description': '¿Porqué será que nos gusta tanto matarnos por dentro?... Ciencias ambientales en la UPO/ músico/ un poco brujo. ♏', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 855, 'friends_count': 298, 'listed_count': 11, 'favourites_count': 5750, 'statuses_count': 13933, 'created_at': 'Wed Jun 13 11:59:48 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/973558080511332352/N9EnCio6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/973558080511332352/N9EnCio6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/607149404/1378031984', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Espartinas,"(-6.173902, 37.360802)",Andalucía
10,2019-04-21 00:14:09.000,1.1197561689923092e+18,1.1197561689923092e+18,es,"{'id': '47a87202a64beb18', 'url': 'https://api.twitter.com/1.1/geo/id/47a87202a64beb18.json', 'place_type': 'city', 'name': 'Talarrubias', 'full_name': 'Talarrubias, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.340699, 38.999976], [-5.340699, 39.333287], [-5.084818, 39.333287], [-5.084818, 38.999976]]]}, 'attributes': {}}",Yo hice una cosa parecida me meo,"{'id': 2901899042, 'id_str': '2901899042', 'name': 'sof✨', 'screen_name': 's0fiagallego', 'location': 'Talarrubias, Badajoz', 'url': 'https://www.instagram.com/mores0fia', 'description': 'Take this heart, put yourself in.    \n                                        🐍Sly                                               el acho es extremeño', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1275, 'friends_count': 828, 'listed_count': 10, 'favourites_count': 50215, 'statuses_count': 48090, 'created_at': 'Sun Nov 16 17:25:29 +0000 2014', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1116784870129393664/GQ9e6NyN_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1116784870129393664/GQ9e6NyN_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2901899042/1550910261', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Talarrubias,"(-5.340699, 38.999976)",Extremadura
11,2019-04-21 00:16:07.000,1.1197566659250094e+18,1.1197566659250094e+18,es,"{'id': 'd860f3cf3473a352', 'url': 'https://api.twitter.com/1.1/geo/id/d860f3cf3473a352.json', 'place_type': 'city', 'name': 'Villa del Río', 'full_name': 'Villa del Río, España', 'country_code': 'ES', 'country': 'Spain', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.331412, 37.953103], [-4.331412, 38.01252], [-4.259517, 38.01252], [-4.259517, 37.953103]]]}, 'attributes': {}}",Gracias a lo mala que estoy desde hace 2 semanas he descubierto la leche con miel🥺,"{'id': 1003987598556237824, 'id_str': '1003987598556237824', 'name': 'More♥️', 'screen_name': 'nuriamore2', 'location': 'Villa del Río, España', 'url': 'https://curiouscat.me/nuriamore00', 'description': 'Administración y Dirección de Empresas UJA📚📈📊', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 168, 'friends_count': 430, 'listed_count': 0, 'favourites_count': 6616, 'statuses_count': 4625, 'created_at': 'Tue Jun 05 13:11:11 +0000 2018', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'en', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1076990883684368389/qJjGhb1H_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1076990883684368389/qJjGhb1H_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1003987598556237824/1545609612', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",Spain,Villa del Río,"(-4.331412, 37.953103)",Andalucía
12,2019-04-21 00:17:49.000,1.1197570929470996e+18,1.1197570929470996e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@Javiquezmar Lo sé, la preparty...

No decías que te ibas a ir a dormir prontito oara no quedarte sopa haciendo el tfg??? (modo madre ON)","{'id': 280387028, 'id_str': '280387028', 'name': 'Borja', 'screen_name': 'borjadn', 'location': 'Madrid, Spain', 'url': 'https://curiouscat.me/borjadn', 'description': 'Likes cats, sleeping, eating and playing games. Me gusta Fate y vais a ver muchos RTs :) 🇯🇵 いつも眠いでござるよ。(´・ω・｀)', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 398, 'friends_count': 238, 'listed_count': 13, 'favourites_count': 25426, 'statuses_count': 37329, 'created_at': 'Mon Apr 11 07:07:30 +0000 2011', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'A4E9F5', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_tile': True, 'profile_link_color': '008080', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '99CC33', 'profile_text_color': '3E4415', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1113777764639883264/X7-9DaS3_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1113777764639883264/X7-9DaS3_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/280387028/1473609306', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Madrid,"(-3.889005, 40.312071)",Madrid
13,2019-04-21 00:18:44.000,1.1197573207272736e+18,1.1197573207272736e+18,es,"{'id': '387b00909c2e7031', 'url': 'https://api.twitter.com/1.1/geo/id/387b00909c2e7031.json', 'place_type': 'city', 'name': 'Granada', 'full_name': 'Granada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.699796, 37.135903], [-3.699796, 37.224915], [-3.496139, 37.224915], [-3.496139, 37.135903]]]}, 'attributes': {}}",@intolaura @Devil_Masks Son tres veces más dulces que las torrijas xd a mí no me gustan aunque los amo porque soy g… https://t.co/oKM0HDE7sl,"{'id': 548011930, 'id_str': '548011930', 'name': 'adek', 'screen_name': 'AlbaGGil7', 'location': '308 negra arroyo lane. ', 'url': None, 'description': '@nuriacastro_d2 es mi novia.\n    \n\n                                 \n\n               Sabela te quiero mucho', 'translator_type': 'regular', 'protected': False, 'verified': False, 'followers_count': 882, 'friends_count': 385, 'listed_count': 7, 'favourites_count': 25825, 'statuses_count': 24388, 'created_at': 'Sun Apr 08 00:26:42 +0000 2012', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': 'es', 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'ACDED6', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1118276047693406208/n8cRl7Ji_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1118276047693406208/n8cRl7Ji_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/548011930/1550756442', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",España,Granada,"(-3.699796, 37.135903)",Andalucía
